SYMBOL,Sector,holidays
EDELWEISS-EQ,Investment Banking & Investment Services,
EFCIL-EQ,Real Estate Operations,
EIEL-EQ,Water Utilities,
EIFFL-EQ,Food & Tobacco,
EIHAHOTELS-EQ,Hotels & Entertainment Services,
EIMCOELECO-EQ,Metals & Mining,
EKC-EQ,"Machinery, Equipment & Components",
ELANTAS-EQ,Chemicals,
ELCIDIN-EQ,NO DATA,
ELDEHSG-EQ,Real Estate Operations,
ELECTCAST-EQ,Metals & Mining,
ELECTHERM-EQ,Metals & Mining,
ELGIRUBCO-EQ,Automobiles & Auto Parts,
ELIN-EQ,"Machinery, Equipment & Components",
ELITECON-EQ,Food & Tobacco,
ELLEN-EQ,Renewable Energy,
ELPROINTL-EQ,NO DATA,
EMAMIPAP-EQ,Paper & Forest Products,
EMBDL-EQ,Real Estate Operations,
EMIL-EQ,Specialty Retailers,
EMKAY-EQ,Investment Banking & Investment Services,
EMMBI-EQ,Containers & Packaging,
EMSLIMITED-EQ,Construction & Engineering,
EMUDHRA-EQ,Software & IT Services,
ENERGYDEV-EQ,Electrical Utilities & IPPs,
ENIL-EQ,Media & Publishing,
ENTERO-EQ,Healthcare Equipment & Supplies,
EPACK-EQ,Household Goods,
EPACKPEB-EQ,Construction & Engineering,
EPIGRAL-EQ,Chemicals,
EPL-EQ,Containers & Packaging,
EQUITASBNK-EQ,Banking Services,
ESABINDIA-EQ,"Machinery, Equipment & Components",
ESAFSFB-EQ,Banking Services,
ESSARSHPNG-EQ,Freight & Logistics Services,
ESTER-EQ,Chemicals,
ETHOSLTD-EQ,Specialty Retailers,
EUREKAFORB-EQ,Professional & Commercial Services,
EUROBOND-EQ,Metals & Mining,
EUROPRATIK-EQ,Specialty Retailers,
EUROTEXIND-EQ,Textiles & Apparel,
EVEREADY-EQ,"Machinery, Equipment & Components",
EVERESTIND-EQ,Homebuilding & Construction Supplies,
EXCELINDUS-EQ,Chemicals,
EXCELSOFT-EQ,Software & IT Services,
EXICOM-EQ,"Machinery, Equipment & Components",
EXPLEOSOL-EQ,Software & IT Services,
EXXARO-EQ,Homebuilding & Construction Supplies,
FABTECH-EQ,Pharmaceuticals,
FAIRCHEMOR-EQ,Chemicals,
FAZE3Q-EQ,Household Goods,
FCL-EQ,Chemicals,
FDC-EQ,Pharmaceuticals,
FEDDERSHOL-EQ,NO DATA,
FEDFINA-EQ,Banking Services,
FERMENTA-EQ,NO DATA,
FIBERWEB-EQ,Textiles & Apparel,
FIEMIND-EQ,Automobiles & Auto Parts,
FILATEX-EQ,Textiles & Apparel,
FINEORG-EQ,Chemicals,
FINKURVE-EQ,Banking Services,
FINOPB-EQ,Banking Services,
FINPIPE-EQ,Homebuilding & Construction Supplies,
FISCHER-EQ,Healthcare Equipment & Supplies,
FLAIR-EQ,Professional & Commercial Services,
FLEXITUFF-EQ,Containers & Packaging,
FMGOETZE-EQ,Automobiles & Auto Parts,
FOCUS-EQ,Homebuilding & Construction Supplies,
FOODSIN-EQ,Food & Tobacco,
FOSECOIND-EQ,Chemicals,
FRACTAL-EQ,Software & IT Services,
FRONTSP-EQ,NO DATA,
FUSION-EQ,Banking Services,
GAEL-EQ,Food & Tobacco,
GALAPREC-EQ,"Machinery, Equipment & Components",
GALAXYSURF-EQ,Chemicals,
GANDHAR-EQ,Oil & Gas,
GANDHITUBE-EQ,Metals & Mining,
GANECOS-EQ,Textiles & Apparel,
GANESHBE-EQ,Chemicals,
GANESHCP-EQ,Food & Tobacco,
GANESHHOU-EQ,Real Estate Operations,
GANGAFORGE-EQ,Metals & Mining,
GANGESSECU-EQ,Investment Banking & Investment Services,
GARFIBRES-EQ,Textiles & Apparel,
GARUDA-EQ,Construction & Engineering,
GATECH-EQ,Professional & Commercial Services,
GATECHDVR-EQ,Professional & Commercial Services,
GATEWAY-EQ,Freight & Logistics Services,
GAYAHWS-EQ,Construction & Engineering,
GCSL-EQ,Investment Banking & Investment Services,
GEECEE-EQ,Real Estate Operations,
GEEKAYWIRE-EQ,"Machinery, Equipment & Components",
GENCON-EQ,Construction & Engineering,
GENESYS-EQ,Software & IT Services,
GENUSPAPER-EQ,Paper & Forest Products,
GENUSPOWER-EQ,"Machinery, Equipment & Components",
GEOJITFSL-EQ,Investment Banking & Investment Services,
GFLLIMITED-EQ,Hotels & Entertainment Services,
GHCL-EQ,Chemicals,
GHCLTEXTIL-EQ,Textiles & Apparel,
GICHSGFIN-EQ,Banking Services,
GICL-EQ,Freight & Logistics Services,
GILLANDERS-EQ,Textiles & Apparel,
GINNIFILA-EQ,Textiles & Apparel,
GIPCL-EQ,Electrical Utilities & IPPs,
GKENERGY-EQ,Construction & Engineering,
GKSL-EQ,Healthcare Providers & Services,
GKWLIMITED-EQ,Real Estate Operations,
GLOBAL-EQ,NO DATA,
GLOBALVECT-EQ,Oil & Gas Related Equipment and Services,
GLOBE-EQ,Textiles & Apparel,
GLOBUSSPR-EQ,Beverages,
GLOSTERLTD-EQ,Textiles & Apparel,
GMBREW-EQ,Beverages,
GMMPFAUDLR-EQ,"Machinery, Equipment & Components",
GMRP&UI-EQ,Electrical Utilities & IPPs,
GNA-EQ,Automobiles & Auto Parts,
GNFC-EQ,Chemicals,
GNRL-EQ,Oil & Gas,
GOACARBON-EQ,Oil & Gas,
GOCLCORP-EQ,Chemicals,
GOCOLORS-EQ,Specialty Retailers,
GODAVARIB-EQ,Chemicals,
GODREJAGRO-EQ,Food & Tobacco,
GOKEX-EQ,Textiles & Apparel,
GOKUL-EQ,Food & Tobacco,
GOKULAGRO-EQ,Food & Tobacco,
GOLDIAM-EQ,Textiles & Apparel,
GOLDTECH-EQ,Software & IT Services,
GOODLUCK-EQ,Metals & Mining,
GOODYEAR-EQ,Automobiles & Auto Parts,
GOPAL-EQ,Food & Tobacco,
GOYALALUM-EQ,Metals & Mining,
GPPL-EQ,Transport Infrastructure,
GPTHEALTH-EQ,Healthcare Providers & Services,
GPTINFRA-EQ,Construction & Engineering,
GRADIENTE-EQ,Media & Publishing,
GRANDOAK-EQ,NO DATA,
GRAUWEIL-EQ,NO DATA,
GRAVISSHO-EQ,NO DATA,
GREAVESCOT-EQ,"Machinery, Equipment & Components",
GREENLAM-EQ,Paper & Forest Products,
GREENPANEL-EQ,Paper & Forest Products,
GREENPLY-EQ,Paper & Forest Products,
GREENPOWER-EQ,Electrical Utilities & IPPs,
GRINDWELL-EQ,"Machinery, Equipment & Components",
GRINFRA-EQ,Construction & Engineering,
GRMOVER-EQ,Food & Tobacco,
GROBTEA-EQ,Food & Tobacco,
GRPLTD-EQ,Automobiles & Auto Parts,
GRWRHITECH-EQ,Chemicals,
GSFC-EQ,Chemicals,
GSLSU-EQ,Homebuilding & Construction Supplies,
GSPCROP-EQ,Chemicals,
GTECJAINX-EQ,Software & IT Services,
GTL-EQ,Telecommunications Services,
GTLINFRA-EQ,Telecommunications Services,
GTPL-EQ,Media & Publishing,
GUFICBIO-EQ,Pharmaceuticals,
GUJALKALI-EQ,Chemicals,
GUJAPOLLO-EQ,Metals & Mining,
GUJGASLTD-EQ,Natural Gas Utilities,
GUJRAFFIA-EQ,Chemicals,
GUJTHEM-EQ,Pharmaceuticals,
GULFOILLUB-EQ,Oil & Gas,
GULFPETRO-EQ,Oil & Gas,
GULPOLY-EQ,Chemicals,
GVPIL-EQ,Construction & Engineering,
GVPTECH-EQ,Software & IT Services,
HALDER-EQ,Food & Tobacco,
HALDYNGL-EQ,NO DATA,
HALEOSLABS-EQ,Pharmaceuticals,
HAPPSTMNDS-EQ,Software & IT Services,
HAPPYFORGE-EQ,Automobiles & Auto Parts,
HARDWYN-EQ,Metals & Mining,
HARIOMPIPE-EQ,Metals & Mining,
HARRMALAYA-EQ,Food & Tobacco,
HARSHA-EQ,"Machinery, Equipment & Components",
HATHWAY-EQ,Media & Publishing,
HATSUN-EQ,Food & Tobacco,
HAVISHA-EQ,Hotels & Entertainment Services,
HAWKINCOOK-EQ,NO DATA,
HBESD-EQ,NO DATA,
HCC-EQ,Construction & Engineering,
HCG-EQ,Healthcare Providers & Services,
HCL-INSYS-EQ,NO DATA,
HEADSUP-EQ,Specialty Retailers,
HEALTHX-EQ,Software & IT Services,
HECPROJECT-EQ,Construction & Engineering,
HEIDELBERG-EQ,Construction Materials,
HEMIPROP-EQ,Real Estate Operations,
HERANBA-EQ,Chemicals,
HERITGFOOD-EQ,Food & Tobacco,
HESTERBIO-EQ,Pharmaceuticals,
HEXATRADEX-EQ,Diversified Industrial Goods Wholesale,
HGINFRA-EQ,Construction & Engineering,
HGM-EQ,Software & IT Services,
HGS-EQ,Software & IT Services,
HIKAL-EQ,Pharmaceuticals,
HIMATSEIDE-EQ,Textiles & Apparel,
HINDCOMPOS-EQ,Automobiles & Auto Parts,
HINDOILEXP-EQ,Oil & Gas,
HINDWAREAP-EQ,Homebuilding & Construction Supplies,
HIRECT-EQ,"Machinery, Equipment & Components",
HISARMETAL-EQ,Metals & Mining,
HITECH-EQ,Metals & Mining,
HITECHCORP-EQ,Containers & Packaging,
HLEGLAS-EQ,"Machinery, Equipment & Components",
HLVLTD-EQ,Hotels & Entertainment Services,
HMAAGRO-EQ,Food & Drug Retailing,
HMVL-EQ,Media & Publishing,
HNDFDS-EQ,Food & Tobacco,
HONDAPOWER-EQ,"Machinery, Equipment & Components",
HPAL-EQ,Chemicals,
HPIL-EQ,Chemicals,
HPL-EQ,"Machinery, Equipment & Components",
HTMEDIA-EQ,Media & Publishing,
HUBTOWN-EQ,Real Estate Operations,
HUHTAMAKI-EQ,Containers & Packaging,
HYBRIDFIN-EQ,Professional & Commercial Services,
ICDSLTD-EQ,Real Estate Operations,
ICEMAKE-EQ,"Machinery, Equipment & Components",
ICIL-EQ,Textiles & Apparel,
ICRA-EQ,Professional & Commercial Services,
IFBIND-EQ,Household Goods,
IFGLEXPOR-EQ,Construction Materials,
IGARASHI-EQ,Automobiles & Auto Parts,
IGCL-EQ,Chemicals,
IGPL-EQ,Chemicals,
IIFLCAPS-EQ,Investment Banking & Investment Services,
IITL-EQ,Investment Banking & Investment Services,
IKIO-EQ,"Machinery, Equipment & Components",
IMAGICAA-EQ,Hotels & Entertainment Services,
IMFA-EQ,Metals & Mining,
IMPAL-EQ,Automobiles & Auto Parts,
INA-EQ,Renewable Energy,
INCREDIBLE-EQ,Metals & Mining,
