Symbol,Sector,holidays
SAIL-EQ,Metals & Mining,
SUMICHEM-EQ,Chemicals,
SUNPHARMA-EQ,Healthcare,
SUNTV-EQ,Media Entertainment & Publication,
SUNDARMFIN-EQ,Financial Services,
SUPREMEIND-EQ,Capital Goods,
SPLPETRO-EQ,Chemicals,
SUZLON-EQ,Capital Goods,
SWANCORP-EQ,Chemicals,
SWIGGY-EQ,Consumer Services,
SYNGENE-EQ,Healthcare,
SYRMA-EQ,Capital Goods,
TBOTEK-EQ,Consumer Services,
TVSMOTOR-EQ,Automobile and Auto Components,
TATACAP-EQ,Financial Services,
TATACHEM-EQ,Chemicals,
TATACOMM-EQ,Telecommunication,
TCS-EQ,Information Technology,
TATACONSUM-EQ,Fast Moving Consumer Goods,
TATAELXSI-EQ,Information Technology,
TATAINVEST-EQ,Financial Services,
TMCV-EQ,Capital Goods,
TMPV-EQ,Automobile and Auto Components,
TATAPOWER-EQ,Power,
TATASTEEL-EQ,Metals & Mining,
TATATECH-EQ,Information Technology,
TTML-EQ,Telecommunication,
TECHM-EQ,Information Technology,
TECHNOE-EQ,Construction,
TEGA-EQ,Capital Goods,
TEJASNET-EQ,Telecommunication,
TENNIND-EQ,Automobile and Auto Components,
NIACL-EQ,Financial Services,
RAMCOCEM-EQ,Construction Materials,
THERMAX-EQ,Capital Goods,
TIMKEN-EQ,Capital Goods,
TITAGARH-EQ,Capital Goods,
TITAN-EQ,Consumer Durables,
TORNTPHARM-EQ,Healthcare,
TORNTPOWER-EQ,Power,
TARIL-EQ,Capital Goods,
TRAVELFOOD-EQ,Consumer Services,
TRENT-EQ,Consumer Services,
TRIDENT-EQ,Textiles,
TRITURBINE-EQ,Capital Goods,
TIINDIA-EQ,Automobile and Auto Components,
UCOBANK-EQ,Financial Services,
UNOMINDA-EQ,Automobile and Auto Components,
UPL-EQ,Chemicals,
UTIAMC-EQ,Financial Services,
ULTRACEMCO-EQ,Construction Materials,
UNIONBANK-EQ,Financial Services,
UBL-EQ,Fast Moving Consumer Goods,
UNITDSPR-EQ,Fast Moving Consumer Goods,
URBANCO-EQ,Consumer Services,
USHAMART-EQ,Capital Goods,
VTL-EQ,Textiles,
VBL-EQ,Fast Moving Consumer Goods,
VEDL-EQ,Metals & Mining,
VIJAYA-EQ,Healthcare,
VMM-EQ,Consumer Services,
IDEA-EQ,Telecommunication,
VOLTAS-EQ,Consumer Durables,
WAAREEENER-EQ,Capital Goods,
WELCORP-EQ,Capital Goods,
WELSPUNLIV-EQ,Textiles,
WHIRLPOOL-EQ,Consumer Durables,
WIPRO-EQ,Information Technology,
WOCKPHARMA-EQ,Healthcare,
YESBANK-EQ,Financial Services,
ZFCVINDIA-EQ,Automobile and Auto Components,
ZEEL-EQ,Media Entertainment & Publication,
ZENTEC-EQ,Capital Goods,
ZENSARTECH-EQ,Information Technology,
ZYDUSLIFE-EQ,Healthcare,
ZYDUSWELL-EQ,Fast Moving Consumer Goods,
ECLERX-EQ,Services,
